"canonicalName","acceptedNameUsage","NSL","GBIF","OBSERVATION_TOT","SPECIMEN_TOT","GlobalFungi","synonym_canonicalNames","GSMc","UNITE"
"Arcangeliella ellipsoidea","Arcangeliella ellipsoidea Zeller & C.W.Dodge","yes","yes",0,2,NA,"Arcangeliella ellipsoidea",NA,NA
"Arcangeliella hepaticus","Arcangeliella hepaticus (G.W.Beaton, Pegler & T.W.K.Young) T.Lebel & Castellano","yes",NA,0,0,NA,"Arcangeliella hepaticus, Elasmomyces hepaticus",NA,NA
"Arcangeliella major","Arcangeliella major",NA,"yes",0,45,NA,"Arcangeliella major",NA,NA
"Arcangeliella texta","Arcangeliella texta (J.W.Cribb) Pegler & T.W.K.Young","yes",NA,0,0,NA,"Arcangeliella texta, Elasmomyces textus",NA,NA
"Aroramyces gelatinosporus","Aroramyces gelatinosporus (J.W.Cribb) Castellano","yes","yes",1,10,NA,"Aroramyces gelatinosporus, Hysterangium gelatinosporum",NA,NA
"Astraeus hygrometricus","Astraeus hygrometricus (Pers.) Morgan","yes","yes",106,67,NA,"Astraeus hygrometricus, Geastrum hygrometricum",NA,"yes"
"Astraeus pteridis","Astraeus pteridis (Shear) Zeller","yes",NA,0,0,NA,"Astraeus pteridis, Scleroderma pteridis",NA,"yes"
"Astrosporina subclavata","Astrosporina subclavata",NA,NA,0,0,"yes","Astrosporina subclavata",NA,"yes"
"Aureoboletus flaviporus","Aureoboletus flaviporus",NA,"yes",1,0,NA,"Aureoboletus flaviporus",NA,"yes"
"Aureoboletus roxanae","Aureoboletus roxanae",NA,"yes",0,1,NA,"Aureoboletus roxanae",NA,"yes"
"Auritella arenicolens","Auritella arenicolens (Cleland) Matheny & Bougher","yes","yes",1,24,"yes","Auritella arenicolens, Inocybe arenicolens, Naucoria arenicolens","yes","yes"
"Auritella brunnescens","Auritella brunnescens Matheny & Bougher","yes","yes",0,18,"yes","Auritella brunnescens","yes","yes"
"Auritella chamaecephala","Auritella chamaecephala Matheny, O.K.Mill. & Bougher ex Matheny, O.K.Mill. & Bougher","yes","yes",0,9,NA,"Auritella chamaecephala","yes","yes"
